product_id,product_name,price,rating,style,stock
1,Modern Sofa 1,84516,4.8,Scandinavian,37
2,Scandinavian Sofa 2,72424,4.9,Modern,29
3,Modern Sofa 3,41952,4.6,Minimalist,5
4,Minimalist Coffee Table 4,40785,4.3,Scandinavian,29
5,Industrial Sofa 5,71367,3.9,Minimalist,8
6,Modern Bed 6,17317,4.1,Minimalist,31
7,Minimalist Bed 7,12587,4.4,Luxury,12
8,Scandinavian Bed 8,83748,4.7,Scandinavian,26
9,Luxury Dining Table 9,31142,4.6,Modern,15
10,Minimalist Sofa 10,18256,4.3,Luxury,42
11,Modern Sofa 11,75335,4.6,Luxury,47
12,Minimalist Dining Table 12,78668,4.8,Scandinavian,7
13,Luxury Dining Table 13,57069,4.8,Luxury,43
14,Minimalist Dining Table 14,79268,3.9,Luxury,22
15,Minimalist Sofa 15,77058,4.7,Industrial,25
16,Industrial Sofa 16,28578,4.0,Modern,45
17,Scandinavian Chair 17,67586,4.2,Luxury,24
18,Minimalist Sofa 18,31323,4.0,Modern,30
19,Industrial Dining Table 19,84457,4.1,Industrial,22
20,Modern Sofa 20,42290,4.2,Scandinavian,42
21,Modern Bed 21,14058,4.7,Scandinavian,47
22,Modern Chair 22,54479,4.2,Industrial,39
23,Scandinavian Chair 23,79209,4.6,Scandinavian,15
24,Industrial Coffee Table 24,71130,4.1,Industrial,25
25,Scandinavian Coffee Table 25,50264,3.8,Scandinavian,50
26,Minimalist Dining Table 26,66334,4.4,Luxury,19
27,Scandinavian Bed 27,47771,4.7,Industrial,18
28,Scandinavian Sofa 28,31182,4.2,Modern,18
29,Minimalist Chair 29,50750,4.3,Scandinavian,32
30,Minimalist Sofa 30,45516,4.3,Scandinavian,32
31,Scandinavian Bed 31,33149,4.8,Industrial,30
32,Minimalist Bed 32,73131,3.9,Scandinavian,40
33,Industrial Bed 33,51128,4.7,Industrial,45
34,Minimalist Sofa 34,36094,4.0,Industrial,5
35,Industrial Sofa 35,45900,4.8,Modern,13
36,Industrial Chair 36,47377,4.5,Minimalist,35
37,Industrial Sofa 37,12673,4.5,Minimalist,25
38,Industrial Sofa 38,53674,3.9,Industrial,34
39,Industrial Sofa 39,39325,4.2,Luxury,15
40,Modern Dining Table 40,76146,4.8,Scandinavian,26
41,Modern Coffee Table 41,39063,4.7,Scandinavian,6
42,Modern Chair 42,26161,4.0,Luxury,42
43,Modern Bed 43,77455,4.6,Industrial,36
44,Luxury Bed 44,74136,4.9,Modern,20
45,Scandinavian Bed 45,48965,4.2,Modern,27
46,Minimalist Chair 46,68967,4.2,Minimalist,46
47,Modern Chair 47,14485,4.9,Modern,44
48,Industrial Sofa 48,16403,4.7,Luxury,43
49,Industrial Dining Table 49,18286,4.5,Modern,15
50,Modern Chair 50,63840,4.4,Luxury,32
51,Modern Dining Table 51,54661,4.5,Industrial,38
52,Minimalist Chair 52,24981,4.6,Scandinavian,19
53,Industrial Bed 53,75378,4.1,Scandinavian,32
54,Luxury Chair 54,42525,4.6,Industrial,33
55,Industrial Chair 55,64030,4.0,Scandinavian,37
56,Luxury Dining Table 56,45146,4.8,Minimalist,8
57,Industrial Bed 57,42489,4.0,Minimalist,6
58,Scandinavian Bed 58,61802,4.1,Luxury,18
59,Minimalist Dining Table 59,46910,4.6,Modern,9
60,Scandinavian Dining Table 60,35851,4.0,Modern,21
61,Minimalist Sofa 61,38956,4.5,Scandinavian,17
62,Modern Chair 62,50368,4.3,Scandinavian,15
63,Scandinavian Coffee Table 63,51356,4.7,Modern,12
64,Modern Dining Table 64,35304,4.2,Industrial,38
65,Modern Sofa 65,30395,4.4,Luxury,21
66,Scandinavian Sofa 66,25138,4.7,Luxury,37
67,Luxury Chair 67,40182,4.0,Minimalist,41
68,Modern Bed 68,25958,4.5,Minimalist,10
69,Minimalist Coffee Table 69,66204,4.9,Scandinavian,12
70,Industrial Dining Table 70,38782,4.2,Industrial,36
71,Minimalist Sofa 71,58777,4.3,Minimalist,40
72,Modern Sofa 72,30080,4.8,Luxury,26
73,Luxury Coffee Table 73,78756,4.6,Scandinavian,25
74,Modern Coffee Table 74,82138,3.8,Scandinavian,9
75,Modern Bed 75,64695,4.6,Industrial,22
76,Industrial Chair 76,21269,4.8,Modern,14
77,Modern Bed 77,59491,4.0,Luxury,33
78,Industrial Chair 78,83291,4.6,Industrial,33
79,Luxury Chair 79,16981,4.1,Minimalist,25
80,Modern Sofa 80,79304,3.8,Modern,37
81,Minimalist Chair 81,71344,3.9,Modern,40
82,Scandinavian Bed 82,48310,4.6,Scandinavian,7
